name	b_number	multi_fun
rsmA	b0051	BC-2.2.3
pdxA	b0052	BC-1.5.3.6
surA	b0053	BC-2.3.4
lptD	b0054	BC-1.6.3
djlA	b0055	BC-2.3.4
yabP	b0056	ORFs
yabQ	b0057	ORFs
rluA	b0058	BC-2.2.3
rapA	b0059	BC-2.2.2:BC-3.1.2:BC-5.5
polB	b0060	BC-2.1.1:BC-2.1.4:BC-5.6.1:BC-5.8
araD	b0061	BC-1.1.1
araA	b0062	BC-1.1.1
araB	b0063	BC-1.1.1
araC	b0064	BC-1.1.1:BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.3.1
yabI	b0065	Unclassified-Genes
thiQ	b0066	BC-1.5.3.8:BC-4.3.A.1.a
thiP	b0067	BC-1.5.3.8:BC-4.3.A.1.m:BC-6.1
thiB	b0068	BC-1.5.3.8:BC-4.3.A.1.p
sgrR	b0069	BC-3.1.2.2:BC-3.1.2.3
sgrT	b4662	BC-3.1.3.3
setA	b0070	BC-4.2:BC-5.5.6:BC-6.1
leuD	b0071	BC-1.5.1.19
leuC	b0072	BC-1.5.1.19
leuB	b0073	BC-1.5.1.19
leuA	b0074	BC-1.5.1.19
leuL	b0075	BC-1.5.1.19
leuO	b0076	BC-1.5.1.19:BC-2.2.2:BC-3.1.2.2:BC-3.3.1
yabR	b4726	ORFs
ilvI	b0077	BC-1.5.1.18
ilvH	b0078	BC-1.5.1.18
cra	b0080	BC-1.3.1:BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.3.2
mraZ	b0081	Unclassified-Genes
rsmH	b0082	BC-2.2.3
ftsL	b0083	BC-5.1
ftsI	b0084	BC-1.6.7:BC-5.1:BC-5.6.4:BC-6.2
murE	b0085	BC-1.6.7:BC-6.2
murF	b0086	BC-1.6.7:BC-1.7.34:BC-5.1:BC-6.2
mraY	b0087	BC-1.6.7:BC-6.1:BC-6.2
murD	b0088	BC-1.6.7:BC-6.2
ftsW	b0089	BC-5.1:BC-6.1
murG	b0090	BC-1.6.7:BC-6.1:BC-6.2
murC	b0091	BC-1.6.7:BC-6.2
ddlB	b0092	BC-1.6.7:BC-6.2
ftsQ	b0093	BC-5.1
ftsA	b0094	BC-5.1:BC-6.1
ftsZ	b0095	BC-5.1
lpxC	b0096	BC-1.6.3.3:BC-6.3
secM	b0097	BC-2.3.2:BC-2.3.5:BC-3.1.3.1
secA	b0098	BC-4.3.A.5
mutT	b0099	BC-1.7.15
yacG	b0101	BC-3.1.3.3
zapD	b0102	BC-5.1
coaE	b0103	BC-1.5.3.5
yacM	b4727	ORFs
guaC	b0104	BC-1.7.33
hofC	b0106	BC-6.1
hofB	b0107	Unclassified-Genes
ppdD	b0108	BC-6.5
nadC	b0109	BC-1.5.3.7
ampD	b0110	BC-1.7.34:BC-6.2
ampE	b0111	BC-5.6.4:BC-6.1
aroP	b0112	BC-1.5.1.13:BC-1.5.1.14:BC-4.2.A:BC-6.1
pdhR	b0113	BC-1.3.1:BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.3.1
aceE	b0114	BC-1.1.1:BC-1.3.3:BC-1.7.21
aceF	b0115	BC-1.1.1:BC-1.3.3:BC-1.7.21
lpd	b0116	BC-1.1.1:BC-1.1.3:BC-1.3.3:BC-1.7.17
yacH	b0117	BC-6.1
acnB	b0118	BC-1.1.1:BC-1.3.4
yacL	b0119	Unclassified-Genes
speD	b0120	BC-1.7.14
speE	b0121	BC-1.7.14
yacC	b0122	ORFs
cueO	b0123	BC-1:BC-5.5.6:BC-5.6.2
gcd	b0124	BC-1.1.1:BC-1.4.1:BC-1.7.9:BC-6.1
hpt	b0125	BC-1.7.33
can	b0126	BC-1.7.1
yadG	b0127	BC-4.3.A.1.a
yadH	b0128	BC-4.3.A.1.m:BC-6.1
yadI	b0129	BC-4.4.A
yadE	b0130	Conserved-Hypothetical-ORFs
panD	b0131	BC-1.5.3.5
rpnC	b0132	BC-5.4
panC	b0133	BC-1.5.3.5
panB	b0134	BC-1.5.3.5
yadC	b0135	BC-6.5
yadK	b0136	BC-6.5
yadL	b0137	ORFs
yadM	b0138	BC-6.5
htrE	b0139	BC-6
yadV	b0140	BC-2.3.4
yadN	b0141	BC-6.5
folK	b0142	BC-1.5.3.2
pcnB	b0143	BC-2.2.3
gluQ	b0144	BC-2.2.3
dksA	b0145	BC-2.3.2:BC-3.1.3.1:BC-5.5.3
sfsA	b0146	BC-1.1.1:BC-3.1.4
thpR	b0147	BC-2.2
hrpB	b0148	Unclassified-Genes
mrcB	b0149	BC-1.6.7:BC-1.7.12:BC-5.1:BC-5.6.4:BC-6.2
fhuA	b0150	BC-4.1.B:BC-8.1:BC-8.4
fhuC	b0151	BC-4.3.A.1.a:BC-5.5.7
fhuD	b0152	BC-4.3.A.1.p:BC-5.5.7
fhuB	b0153	BC-4.3.A.1.m:BC-5.5.7:BC-6.1
hemL	b0154	BC-1.5.3.12
clcA	b0155	BC-4.1.A
yadW	b4728	ORFs
erpA	b0156	BC-1.3.6:BC-1.3.7
yadS	b0157	ORFs
btuF	b0158	BC-4.3.A.1.p
mtn	b0159	BC-1.7.33
dgt	b0160	BC-1.7.33
degP	b0161	BC-1.2.3:BC-2.3.6:BC-5.5.2:BC-5.5.6
cdaR	b0162	BC-2.2.2:BC-3.1.2.2:BC-3.3.2
yaeH	b0163	Unclassified-Genes
yaeI	b0164	Unclassified-Genes
dapD	b0166	BC-1.5.1.7
glnD	b0167	BC-1.5.1.2:BC-1.8.3:BC-2.3.3
map	b0168	BC-2.3.3
rpsB	b0169	BC-2.3.2:BC-2.3.8:BC-6.6
tsf	b0170	BC-2.3.2
pyrH	b0171	BC-1.7.33
frr	b0172	BC-2.3.2:BC-3.1.3.1
dxr	b0173	BC-1.5.3.11
ispU	b0174	BC-1.6.7
cdsA	b0175	BC-1.5.4:BC-1.6.1:BC-6.1
rseP	b0176	BC-1.2.3:BC-2.3.6:BC-3.1.2.1:BC-3.1.3.4:BC-5.5.2:BC-5.5.6
bamA	b0177	BC-6.1
skp	b0178	BC-2.3.4
lpxD	b0179	BC-1.6.3.3:BC-6.3
fabZ	b0180	BC-1.5.4
lpxA	b0181	BC-1.6.3.3:BC-6.3
lpxB	b0182	BC-1.6.3.3:BC-6.3
rnhB	b0183	BC-1.2.1:BC-2.2.4
dnaE	b0184	BC-2.1.1
accA	b0185	BC-1.5.4
ldcC	b0186	BC-1.1.1
yaeR	b0187	ORFs
tilS	b0188	BC-2.2.3:BC-2.3.2
rof	b0189	BC-2.2.2:BC-3.1.2
yaeP	b4406	ORFs
yaeQ	b0190	Unclassified-Genes
arfB	b0191	BC-2.3.2
nlpE	b0192	BC-5.5.6:BC-6.1
yaeF	b0193	ORFs
proS	b0194	BC-2.3.1
trmO	b0195	BC-2.2.3
rcsF	b0196	BC-3:BC-6.1
metQ	b0197	BC-4.3.A.1.p
metI	b0198	BC-4.3.A.1.m:BC-6.1
metN	b0199	BC-4.3.A.1.a
gmhB	b0200	BC-1.6.3.2
dkgB	b0207	BC-1.1.1:BC-1.7.23:BC-5.6.2
yafC	b0208	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3
yafD	b0209	Conserved-Hypothetical-ORFs
yafE	b0210	Unclassified-Genes
mltD	b0211	BC-1.2.3
gloB	b0212	BC-1.7.23
yafS	b0213	ORFs
rnhA	b0214	BC-1.2.1:BC-2.1.1:BC-2.2.4
dnaQ	b0215	BC-2.1.1:BC-2.3.4
yafT	b0217	ORFs
ykfM	b4586	Conserved-Hypothetical-ORFs
yafU	b0218	Pseudo-Genes
yafF	b4503	Pseudo-Genes
yafV	b0219	Unclassified-Genes
ivy	b0220	BC-2.3.4:BC-5.6
fadE	b0221	BC-1.1.2
lpcA	b0222	BC-1.6.3.2
yafJ	b0223	ORFs
yafK	b0224	Unclassified-Genes
yafQ	b0225	BC-5.6.3
dinJ	b0226	BC-5.6.3
yafL	b0227	ORFs
rayT	b0228	BC-8.3
lfhA	b0229	Pseudo-Genes
lafU	b0230	Pseudo-Genes
dinB	b0231	BC-2.1.1:BC-5.8
yafN	b0232	BC-3.1.3.3
yafO	b0233	BC-3.1.3.1:BC-5.6.3
yafP	b0234	ORFs
ykfJ	b0235	Pseudo-Genes
prfH	b0236	Pseudo-Genes
pepD	b0237	BC-1.2.3:BC-2.3.6
gpt	b0238	BC-1.7.33
frsA	b0239	BC-1.3.5:BC-1.3.6
crl	b0240	BC-2.2.2
insB9	b4710	BC-8.3
insA9	b4709	BC-8.3
phoE	b0241	BC-4.1.B
proB	b0242	BC-1.5.1.4
proA	b0243	BC-1.5.1.4
ykfN	b4626	Pseudo-Genes
ykfI	b0245	BC-5.6.3:BC-8.1
yafW	b0246	BC-5.6.3:BC-8.1
ykfH	b4504	ORFs
ykfG	b0247	BC-8.1
yafX	b0248	BC-8.1
ykfF	b0249	BC-8.1
ykfB	b0250	BC-8.1
yafY	b0251	Unclassified-Genes
yafZ	b0252	BC-8.1
ykfA	b0253	BC-8.1
perR	b0254	BC-8.1
insN	b4587	BC-8.1
insI-1	b0256	BC-8.1:BC-8.3
ykfC	b0258	BC-8.1
insH-1	b0259	BC-8.1:BC-8.3
mmuP	b0260	BC-1.5.1.9:BC-4.2.A:BC-6.1:BC-8.1
mmuM	b0261	BC-1.5.1.9:BC-8.1
afuC	b0262	BC-4.3.A.1
afuB	b0263	Pseudo-Genes
insB-2	b0264	BC-8.3
insA-2	b0265	BC-8.3
yagB	b0266	BC-8.1
yagA	b0267	BC-8.1
yagE	b0268	BC-8.1
yagF	b0269	BC-1.1.1:BC-8.1
yagG	b0270	BC-4.2.A
yagH	b0271	BC-1.1.1:BC-8.1
xynR	b0272	BC-2.2.2:BC-3.1.2.3:BC-8.1
argF	b0273	BC-1.5.1.3:BC-8.1
ykgS	b4688	ORFs
insB-3	b0274	BC-8.3
insA-3	b0275	BC-8.3
yagJ	b0276	BC-8.1
yagK	b0277	BC-8.1
yagL	b0278	BC-8.1
yagM	b0279	BC-8.1
ykgV	b4729	ORFs
yagN	b0280	BC-8.1
intF	b0281	BC-8.1
yagP	b0282	BC-3.1.2
paoD	b0283	BC-2.3.4
paoC	b0284	BC-5.6.2
paoB	b0285	BC-5.6.2
paoA	b0286	BC-5.6.2
yagU	b0287	BC-5.5.4
ykgJ	b0288	ORFs
ecpE	b0289	BC-2.3.4
ecpD	b0290	BC-6
ecpC	b0291	Unclassified-Genes
ecpB	b0292	BC-2.3.4
ecpA	b0293	BC-6.5
ecpR	b0294	BC-3.1.2
ykgL	b0295	ORFs
ykgO	b4506	BC-2.3.8
ykgM	b0296	BC-2.3.8:BC-5.5
ykgR	b4671	ORFs
ykgP	b4630	Pseudo-Genes
eaeH	b0297	Pseudo-Genes
insE-1	b0298	BC-8.3
insF-1	b0299	BC-8.3
ykgA	b0300	BC-2.2.2:BC-3.1.2.3
rclC	b0301	BC-5.6
rclB	b0303	BC-5.6
rclA	b0304	BC-5.6
rclR	b0305	BC-2.2.2:BC-3.1.2.2
ykgE	b0306	ORFs
ykgF	b0307	ORFs
ykgG	b0308	BC-4.9.B
ykgH	b0310	Unclassified-Genes
betA	b0311	BC-1.7.18:BC-5.5.1:BC-6.1
betB	b0312	BC-1.7.18:BC-5.5.1
betI	b0313	BC-2.2.2:BC-3.1.2.3:BC-3.3.1:BC-5.5.1
betT	b0314	BC-1.7.18:BC-4.2.A:BC-6.1
yahV	b4730	ORFs
pdeL	b0315	BC-3
yahB	b0316	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3
yahC	b0317	ORFs
yahD	b0318	BC-5.6.1
yahE	b0319	ORFs
yahF	b0320	ORFs
yahG	b0321	Unclassified-Genes
yahH	b0322	ORFs
yahI	b0323	BC-1.5.1.3:BC-1.5.2.2
yahJ	b0324	ORFs
yahK	b0325	Unclassified-Genes
yahL	b0326	Conserved-Hypothetical-ORFs
yahM	b0327	ORFs
yahN	b0328	BC-4
yahO	b0329	Conserved-Hypothetical-ORFs
prpR	b0330	BC-1.1.2:BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.3.1
prpB	b0331	BC-1.1.1:BC-1.1.2
prpC	b0333	BC-1.1.1:BC-1.1.2
prpD	b0334	BC-1.1.1:BC-1.1.2
prpE	b0335	BC-1.1.2
codB	b0336	BC-1.7.33:BC-4.2.A:BC-6.1
codA	b0337	BC-1.7.33
cynR	b0338	BC-1.7.1:BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.3.1:BC-5.6.2
cynT	b0339	BC-1.7.24:BC-1.8.3
cynS	b0340	BC-1.7.24:BC-1.8.3:BC-5.6.2
cynX	b0341	BC-1.7.24:BC-4.2.A:BC-5.6.2:BC-6.1
lacA	b0342	BC-1.1.1
lacY	b0343	BC-1.1.1:BC-4.2.A:BC-6.1
lacZ	b0344	BC-1.1.1
lacI	b0345	BC-1.1.1:BC-2.2.2:BC-3.1.2.3:BC-3.3.1
mhpR	b0346	BC-1.1.2:BC-2.2.2:BC-3.1.2.2:BC-3.3.1
mhpA	b0347	BC-1.1.1
mhpB	b0348	BC-1.1.2
mhpC	b0349	BC-1.1.1
mhpD	b0350	BC-1.1.1
mhpF	b0351	BC-1.1.1
mhpE	b0352	BC-1.1.1
mhpT	b0353	BC-1.1.2:BC-4.2.A:BC-6.1
yaiL	b0354	Unclassified-Genes
frmB	b0355	BC-5.6.2
frmA	b0356	BC-1.3.5
frmR	b0357	BC-3.1.2.5
yaiO	b0358	Unclassified-Genes
insC-1	b0360	BC-8.3
insD-1	b0361	BC-8.3
yaiX	b4579	Interrupted-Genes
yaiP	b0363	BC-1.6.9
ykiC	b4731	ORFs
yaiS	b0364	Conserved-Hypothetical-ORFs
tauA	b0365	BC-1.1.4:BC-1.8.2:BC-4.3.A.1.p
tauB	b0366	BC-1.1.4:BC-1.8.2:BC-4.3.A.1.a
tauC	b0367	BC-1.1.4:BC-1.8.2:BC-4.3.A.1.m:BC-6.1
tauD	b0368	BC-1.1.4:BC-1.8.2
hemB	b0369	BC-1.5.3.12
yaiT	b4580	Interrupted-Genes
insF-2	b0372	BC-8.3
insE-2	b0373	BC-8.3
iprA	b0375	BC-2.2.2:BC-3.1.2
ampH	b0376	BC-5.6.4
sbmA	b0377	BC-4.3.A.1.am:BC-5.6.4:BC-6.1
yaiW	b0378	BC-2.2.2:BC-3.1.2:BC-6.1
yaiY	b0379	ORFs
yaiZ	b0380	ORFs
ddlA	b0381	BC-1.6.7:BC-6.2
iraP	b0382	BC-3.1.3:BC-5.5
phoA	b0383	BC-1.8.1
psiF	b0384	BC-1.8.1:BC-5.5.3
dgcC	b0385	BC-3.1.4:BC-6.1
proC	b0386	BC-1.5.1.4
yaiI	b0387	Unclassified-Genes
aroL	b0388	BC-1.5.1.20
yaiA	b0389	ORFs
aroM	b0390	Unclassified-Genes
ppnP	b0391	Unclassified-Genes
ykiA	b0392	Pseudo-Genes
ykiD	b4732	ORFs
rdgC	b0393	BC-2.1.1
mak	b0394	BC-1.1.1
araJ	b0396	BC-1.1.1:BC-4.2.A:BC-6.1
sbcC	b0397	BC-1.2.2:BC-2.1.5
sbcD	b0398	BC-1.2.2:BC-2.1.5
phoB	b0399	BC-1.8.1:BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-3.1.2.4.3:BC-3.3.2
phoR	b0400	BC-1.8.1:BC-2.3.3:BC-3.1.2.4.3:BC-3.1.3.2:BC-6.1
brnQ	b0401	BC-1.1.3:BC-1.5.1.18:BC-1.5.1.19:BC-4.2.A:BC-6.1
proY	b0402	BC-4
malZ	b0403	BC-1.1.1:BC-1.2.4
acpH	b0404	BC-1.6.15.4
queA	b0405	BC-2.2.3
tgt	b0406	BC-2.2.3
yajC	b0407	BC-4.3.A.5:BC-6.1
secD	b0408	BC-4.3.A.5:BC-6.1
secF	b0409	BC-4.3.A.5:BC-6.1
yajD	b0410	Unclassified-Genes
tsx	b0411	BC-1.7.33:BC-4.1.B:BC-8.1:BC-8.4
yajI	b0412	Unclassified-Genes
nrdR	b0413	BC-3.1.2.3
ribD	b0414	BC-1.5.3.9
ribE	b0415	BC-1.5.3.9
nusB	b0416	BC-2.2.2
thiL	b0417	BC-1.5.3.8
pgpA	b0418	BC-1.6.1:BC-6.1
yajO	b0419	BC-1.5.3
dxs	b0420	BC-1.5.3.11:BC-1.5.3.6:BC-1.5.3.8
ispA	b0421	BC-1.5.3.11
xseB	b0422	BC-1.2.2:BC-2.1.4:BC-2.1.5
thiI	b0423	BC-1.5.3.8:BC-2.2.3
yajL	b0424	BC-2.3.4:BC-5.5.6
panE	b0425	BC-1.5.3.5
yajQ	b0426	Unclassified-Genes
yajR	b0427	BC-4.2.A:BC-5.6.4:BC-6.1
cyoE	b0428	BC-1.3.6:BC-6.1
cyoD	b0429	BC-1.3.6:BC-1.4.2:BC-6.1
cyoC	b0430	BC-1.3.6:BC-1.4.2:BC-4.3.D:BC-6.1
cyoB	b0431	BC-1.3.6:BC-1.4.2:BC-4.3.D:BC-6.1
cyoA	b0432	BC-1.3.6:BC-1.4.2:BC-4.3.D:BC-6.1
ampG	b0433	BC-1.7.34:BC-4.2.A:BC-6.1:BC-6.2
yajG	b0434	ORFs
bolA	b0435	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3:BC-5.1:BC-5.5.1:BC-6.2
tig	b0436	BC-2.3.4:BC-5.1
clpP	b0437	BC-1.2.3:BC-2.3.6:BC-3.1.3.4:BC-5.5.2
clpX	b0438	BC-1.2.3:BC-2.3.4:BC-2.3.6
lon	b0439	BC-1.2.3:BC-2.3.6:BC-3.1.3.4:BC-5.1:BC-8.1:BC-8.2
hupB	b0440	BC-2.2.2:BC-2.3.7:BC-3.1.2:BC-3.1.2.2:BC-3.1.2.3
ppiD	b0441	BC-2.3.4:BC-5.5.2:BC-5.5.6:BC-6.1
ybaV	b0442	Unclassified-Genes
fadM	b0443	BC-1.1.2
queC	b0444	BC-2.2.3
ybaE	b0445	ORFs
cof	b0446	BC-1.5.3.8
decR	b0447	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3
mdlA	b0448	BC-4.3.A.1.am:BC-6.1
mdlB	b0449	BC-4.3.A.1.am:BC-6.1
glnK	b0450	BC-1.8.3:BC-3.1.4
amtB	b0451	BC-4.2.A:BC-6.1
tesB	b0452	BC-1
ybaY	b0453	BC-1.6.10
atl	b0454	BC-2.1.4
ybaA	b0456	Unclassified-Genes
pdeB	b0457	Unclassified-Genes
ylaC	b0458	ORFs
maa	b0459	BC-5.5.6
hha	b0460	BC-2.2.2:BC-3.1.2.4:BC-3.3.4:BC-5.6.3
tomB	b0461	BC-5
acrB	b0462	BC-4.2:BC-5.6.4:BC-6.1
acrA	b0463	BC-4.2.A:BC-5.6.4:BC-6.1
acrR	b0464	BC-2.2.2:BC-3.1.2.3:BC-3.3.1:BC-5.6.4
mscK	b0465	BC-4.1.A:BC-5.5.6:BC-6.1
ybaM	b0466	BC-5.5
priC	b0467	BC-2.1.1
ybaN	b0468	Unclassified-Genes
apt	b0469	BC-1.7.33
dnaX	b0470	BC-2.1.1
ybaB	b0471	BC-5.5
recR	b0472	BC-2.1.3:BC-2.1.4
htpG	b0473	BC-2.3.4
adk	b0474	BC-1.5.2.3:BC-1.7.33
hemH	b0475	BC-1.5.3.12
aes	b0476	BC-1.1.1
gsk	b0477	BC-1.7.33
ybaL	b0478	BC-4.2.A:BC-6.1
fsr	b0479	BC-4.2.A:BC-5.6.4:BC-6.1
ushA	b0480	BC-1.7.10
ybaK	b0481	BC-2.3.1
ybaP	b0482	Unclassified-Genes
ybaQ	b0483	BC-2.2.2:BC-3.1.2
copA	b0484	BC-4
glsA	b0485	BC-1:BC-5.5.4
ybaT	b0486	BC-4.9.B
cueR	b0487	BC-2.2.2:BC-3.1.2.2:BC-3.1.2.3
ybbJ	b0488	Unclassified-Genes
qmcA	b0489	BC-6.1
fetA	b0490	BC-4.3.A.1.a:BC-5.5.7
fetB	b0491	BC-4.9.B:BC-5.5.7:BC-6.1
cnoX	b0492	BC-2.3.4
ybbO	b0493	Unclassified-Genes
tesA	b0494	Unclassified-Genes
ybbA	b0495	BC-4.3.A.1.a
ybbP	b0496	BC-4.3.A.1
rhsD	b0497	Unclassified-Genes
ybbC	b0498	ORFs
ylbH	b0499	Pseudo-Genes
ybbD	b0501	Pseudo-Genes
ylbI	b4632	Pseudo-Genes
ylbG	b0502	BC-3.1.4
selU	b0503	BC-2.2.3
allS	b0504	BC-2.2.2:BC-3.1.2.2
allA	b0505	BC-1.7.26:BC-1.8.3
allR	b0506	BC-2.2.2:BC-3.1.2.3:BC-3.3.1
gcl	b0507	BC-1.7.21:BC-1.7.25
hyi	b0508	BC-1.7.1
glxR	b0509	BC-1.1.1:BC-1.7.21
ybbW	b0511	BC-4.2.A:BC-6.1
allB	b0512	BC-1.7.26:BC-1.8.3
ybbY	b0513	BC-4.9.B
glxK	b0514	BC-1.1.1:BC-1.7.21:BC-1.7.25
allE	b0515	BC-1.7.26:BC-1.8.3
allC	b0516	BC-1.7.26:BC-1.8.3
allD	b0517	BC-1.7.26:BC-1.8.3
fdrA	b0518	Unclassified-Genes
ylbE	b4572	ORFs
ylbF	b0520	Unclassified-Genes
ybcF	b0521	BC-1.8
purK	b0522	BC-1.5.2.1
purE	b0523	BC-1.5.2.1
lpxH	b0524	BC-1.6.3.3:BC-6.3
ppiB	b0525	BC-2.3.4
cysS	b0526	BC-2.3.1
ybcI	b0527	Unclassified-Genes
ybcJ	b0528	BC-2.2
folD	b0529	BC-1.5.3.2:BC-1.7.17
sfmA	b0530	BC-6.5
sfmC	b0531	BC-2.3.4
sfmD	b0532	Unclassified-Genes
sfmH	b0533	BC-2.3.4
sfmF	b0534	BC-6.5
fimZ	b0535	BC-2.2.2:BC-3.1.2.2:BC-3.3.1
intD	b0537	BC-8.1
xisD	b4633	Pseudo-Genes
exoD	b0539	Pseudo-Genes
renD	b0542	Interrupted-Genes
insE-3	b0540	BC-8.3
insF-3	b0541	BC-8.3
emrE	b0543	BC-4.2.A:BC-5.6.4:BC-6.1
ylcJ	b4733	ORFs
ybcK	b0544	BC-8.1
ybcL	b0545	BC-3.1.3.3:BC-8.1
ybcM	b0546	BC-8.1
ylcH	b4588	BC-8.1
ybcN	b0547	BC-2.1.4:BC-8.1
ninE	b0548	BC-8.1
ybcO	b0549	BC-8.1
rusA	b0550	BC-2.1.4:BC-8.1
ylcG	b4509	BC-8.1
ybcQ	b0551	BC-8.1
insH-2	b0552	BC-8.1:BC-8.3
nmpC	b0553	Pseudo-Genes
essD	b0554	BC-8.1
rrrD	b0555	BC-8.1
rzpD	b0556	BC-8.1
rzoD	b4510	BC-8.1
borD	b0557	BC-8.1
ybcV	b0558	BC-8.1
ybcW	b0559	BC-8.1
ylcI	b4589	ORFs
nohD	b0560	BC-8.1
aaaD	b4634	Pseudo-Genes
tfaD	b0561	BC-8.1
ybcY	b0562	Interrupted-Genes
tfaX	b0563	BC-8.1
appY	b0564	BC-2.2.2:BC-3.1.2.2:BC-3.3.3:BC-5.5.3:BC-8.1
ompT	b0565	BC-1.2.3:BC-6.1:BC-8.1
envY	b0566	BC-2.2.2:BC-3.1.2.2:BC-3.3.1
ybcH	b0567	Conserved-Hypothetical-ORFs
nfrA	b0568	BC-8.1
nfrB	b0569	BC-6.1:BC-8.1
cusS	b0570	BC-2.3.3:BC-3.1.2.4.3:BC-3.1.3.2
cusR	b0571	BC-2.2.2:BC-3.1.2.2
cusC	b0572	BC-6.1:BC-8.3
cusF	b0573	BC-4:BC-5.5
cusB	b0574	BC-4.8.A:BC-5.6.4
cusA	b0575	BC-4.2.A:BC-6.1
pheP	b0576	BC-1.1.3:BC-1.5.1.13:BC-4.2.A:BC-6.1
ybdG	b0577	BC-4.1:BC-5.5.6:BC-6.1
nfsB	b0578	BC-1.7.1:BC-5.6.4
ybdF	b0579	Unclassified-Genes
ybdJ	b0580	Conserved-Hypothetical-ORFs
ybdK	b0581	BC-1
hokE	b4415	Unclassified-Genes
insL-2	b0582	BC-8.3
entD	b0583	BC-1.5.3.14:BC-6.1
fepA	b0584	BC-4.1.B:BC-5.5.7:BC-8.4
fes	b0585	BC-1.7.19:BC-5.5.7
ybdZ	b4511	BC-5.5.7
entF	b0586	BC-1.5.3.14:BC-1.5.3.5:BC-2.3.9:BC-5.5.7:BC-6.1
fepE	b0587	BC-4:BC-5.5.7:BC-6.1
fepC	b0588	BC-4.3.A.1.a:BC-5.5.7
fepG	b0589	BC-4.3.A.1.m:BC-5.5.7:BC-6.1
fepD	b0590	BC-4.3.A.1.m:BC-5.5.7:BC-6.1
entS	b0591	BC-4.2.A:BC-6.1
fepB	b0592	BC-4.3.A.1.p:BC-5.5.7
entC	b0593	BC-1.5.3.14
entE	b0594	BC-1.5.3.14:BC-6.1
entB	b0595	BC-1.5.3.14:BC-2.3.9:BC-6.1
entA	b0596	BC-1.5.3.14
entH	b0597	BC-1.5.3.14:BC-5.5.7
cstA	b0598	BC-5.5.3:BC-6.1
ybdD	b4512	Unclassified-Genes
hcxA	b0599	ORFs
ybdL	b0600	Unclassified-Genes
ybdM	b0601	Unclassified-Genes
ybdN	b0602	Conserved-Hypothetical-ORFs
ybdO	b0603	BC-2.2.2:BC-3.1.2
dsbG	b0604	BC-2.3.4
ahpC	b0605	BC-5.6.2
ahpF	b0606	BC-5.6.2
