multi_fun	common_name
BC-3.1.1	DNA structure level
BC-3.1.1.1	bent DNA or supercoiling, inversion
BC-3.1.1.2	methylation
BC-3.1.2	transcriptional level
BC-3.1.2.1	sigma factors, anti-sigmafactors
BC-3.1.2.2	activator
BC-3.1.2.3	repressor
BC-3.1.2.4	complex regulation
BC-3.1.2.4.2	regulons or multilayer component regulatory systems
BC-3.1.2.4.3	two component regulatory systems (external signal)
BC-3.1.2.4.4	quorum sensing
BC-3.1.2.5	action unknown
BC-3.1.3	posttranscriptional
BC-3.1.3.1	translation attenuation and efficiency
BC-3.1.3.2	covalent modification, demodification, maturation
BC-3.1.3.3	inhibition / activation of enzymes
BC-3.1.3.4	proteases, cleavage of compounds
BC-3.1.3.6	antisense RNA
BC-3.1.4	unknown
BC-3.3.1	operon
BC-3.3.2	regulon
BC-3.3.3	stimulon
BC-3.3.4	global
BC-4	transport
BC-4.1	Channel-type Transporters
BC-4.1.A	alpha-type channels
BC-4.1.B	Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily)
BC-4.2	Electrochemical potential driven transporters
BC-4.2.A	Porters (Uni-, Sym- and Antiporters)
BC-4.2.C	Ion-gradient-driven energizers
BC-4.3.A.1	The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases
BC-4.3.A.1.a	ABC superfamily ATP binding cytoplasmic component
BC-4.3.A.1.am	ABC superfamily, ATP binding and membrane component
BC-4.3.A.1.m	ABC superfamily, membrane component
BC-4.3.A.1.p	ABC superfamily, periplasmic binding component
BC-4.3.A.2	The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Su
BC-4.3.A.3	The P-type ATPase (P-ATPase) Superfamily
BC-4.3.A.4	The Arsenite-Antimonite (Ars) Efflux Family
BC-4.3.A.5	The Type II (General) Secretory Pathway (IISP) Family
BC-4.3.D	Oxidoreduction-driven Active Transporters
BC-4.4.A	Phosphotransferase Systems (PEP-dependent PTS)
BC-4.8.A	Accessory Factors Involved in Transport
BC-4.9.A	Transporters of Unknown Classification
BC-4.9.B	Putative uncharacterized transport protein
BC-5	cell processes
BC-5.1	cell division
BC-5.10	defense/survival
BC-5.2	cell cycle physiology
BC-5.3	motility, chemotaxis, energytaxis (aerotaxis, redoxtaxis etc)
BC-5.4	genetic exchange, recombination (for future)
BC-5.5	adaptations
BC-5.5.1	osmotic pressure
BC-5.5.2	temperature extremes
BC-5.5.3	starvation
BC-5.5.4	pH
BC-5.5.5	dessication
BC-5.5.6	other (mechanical, nutritional, oxidative stress)
BC-5.5.7	Fe aquisition
BC-5.6	protection
BC-5.6.1	radiation
BC-5.6.2	detoxification
BC-5.6.3	cell killing
BC-5.6.4	drug resistance/sensitivity
BC-5.8	SOS response
BC-6	cell structure
BC-6.1	membrane
BC-6.2	murein
BC-6.3	surface antigens (ECA, O antigen of LPS)
BC-6.4	flagella
BC-6.5	pilus
BC-6.6	ribosomes
BC-6.7	capsule (M and K antigens)
BC-8.1	prophage genes and phage related functions
BC-8.2	plasmid related
BC-8.3	transposon related
BC-8.4	colicin related
